MEAN,STD,SUM,FORMACION,Value,ColorCode,USO
0.726309417437,0.488082099602,2.17892825231,Matorral esclerofilo,6,#c6b044,Shrublands
4.09236609936,0.691744923592,8.18473219872,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
1.23993368447,0.985429023346,4.95973473787,Matorral esclerofilo,10,#fbff13,Croplands / Grasslands
2.30474019051,0.808700378242,9.21896076202,Matorral esclerofilo,10,#fbff13,Croplands / Grasslands
4.27616596222,0,4.27616596222,Matorral esclerofilo,10,#fbff13,Croplands / Grasslands
1.4734030962,0,1.4734030962,Matorral esclerofilo,7,#c6b044,Shrublands
3.29503527284,0.536120656688,26.3602821827,Matorral esclerofilo,10,#fbff13,Croplands / Grasslands
4.10568577051,2.32482962938,24.6341146231,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
2.97274654806,2.64863119836,29.7274654806,Bosque esclerofilo,9,#fbff13,Croplands / Grasslands
6.52197307348,1.76113072675,52.1757845879,Bosque esclerofilo,7,#c6b044,Shrublands
6.31392590205,1.21726159743,18.9417777061,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
4.38241918882,0.565265579042,26.2945151329,Bosque esclerofilo,7,#c6b044,Shrublands
3.7646150589,2.36199911908,11.2938451767,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
1.0564643542,0.196670010873,3.16939306259,Matorral esclerofilo,10,#fbff13,Croplands / Grasslands
2.17447749774,1.34496601386,6.52343249321,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
5.46067357063,0.197001695633,10.9213471413,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
7.28928875923,0.0710475444794,14.5785775185,Bosque esclerofilo,7,#c6b044,Shrublands
5.38511633873,1.01546025276,10.7702326775,Matorral esclerofilo,10,#fbff13,Croplands / Grasslands
7.60134506226,0,7.60134506226,Bosque esclerofilo,7,#c6b044,Shrublands
2.32885336876,0,2.32885336876,Bosque esclerofilo,7,#c6b044,Shrublands
3.99264566104,0.206956014088,11.9779369831,Matorral esclerofilo,9,#fbff13,Croplands / Grasslands
7.1520699501,0.724503668321,35.7603497505,Matorral esclerofilo,10,#fbff13,Croplands / Grasslands
1.52915020784,0.33698918966,4.58745062351,Bosque esclerofilo,7,#c6b044,Shrublands
6.19867324829,0,6.19867324829,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
3.77303907871,1.54577093621,18.8651953936,Matorral esclerofilo,9,#fbff13,Croplands / Grasslands
5.38349342346,0.153213024139,10.7669868469,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
